Date,Daily ROR,Index Value
06/09/2016,0.1624%,713.15
06/08/2016,0.0886%,712
06/07/2016,0.1197%,711.36
06/06/2016,-0.3172%,710.51
06/03/2016,0.3216%,712.78
06/02/2016,-0.1443%,710.49
06/01/2016,0.3292%,711.52
05/31/2016,0.1556%,709.18
05/27/2016,-0.1008%,708.08
05/26/2016,-0.1032%,708.8
05/25/2016,0.4119%,709.53
05/24/2016,-0.357%,706.62
05/23/2016,-0.0641%,709.15
05/20/2016,0.1433%,709.6
05/19/2016,0.0579%,708.59
05/18/2016,0.0133%,708.18
05/17/2016,0.1184%,708.08
05/16/2016,-0.1359%,707.25
05/13/2016,-0.0721%,708.21
05/12/2016,-0.2636%,708.72
05/11/2016,0.6812%,710.59
05/10/2016,-0.2747%,705.79
05/09/2016,0.0983%,707.73
05/06/2016,-0.2021%,707.03
05/05/2016,0.0852%,708.47
05/04/2016,0.1467%,707.86
05/03/2016,0.239%,706.83
05/02/2016,-0.3904%,705.14
04/29/2016,0.1023%,707.9
04/28/2016,0.1953%,707.18
04/27/2016,0.2713%,705.8
04/26/2016,-0.1878%,703.89
04/25/2016,0.38%,705.22
04/22/2016,-0.285%,702.55
04/21/2016,0.16%,704.56
04/20/2016,0.1489%,703.43
04/19/2016,0.178%,702.38
04/18/2016,0.1218%,701.14
04/15/2016,0.0795%,700.28
04/14/2016,0.136%,699.73
04/13/2016,0.2551%,698.78
04/12/2016,-0.4003%,697
04/11/2016,0.1308%,699.8
04/08/2016,-0.0982%,698.89
04/07/2016,0.6652%,699.57
04/06/2016,-0.3034%,694.95
04/05/2016,0.2715%,697.06
04/04/2016,0.164%,695.18
04/01/2016,-0.0738%,694.04
03/31/2016,-0.0473%,694.55
03/30/2016,0.5694%,694.88
03/29/2016,-0.6141%,690.95
03/28/2016,0.2027%,695.21
03/24/2016,-0.4673%,693.81
03/23/2016,0.4968%,697.07
03/22/2016,-0.1715%,693.62
03/21/2016,0.1492%,694.81
03/18/2016,-0.2207%,693.78
03/17/2016,-0.1986%,695.31
03/16/2016,-0.085%,696.69
03/15/2016,0.0137%,697.29
03/14/2016,0.1329%,697.19
03/11/2016,-0.1357%,696.27
03/10/2016,-0.0341%,697.21
03/09/2016,-0.0025%,697.45
03/08/2016,0.6415%,697.47
03/07/2016,-0.0912%,693.02
03/04/2016,0.0925%,693.65
03/03/2016,0.1411%,693.01
03/02/2016,0.1997%,692.04
03/01/2016,-0.3219%,690.66
02/29/2016,0.1567%,692.89
02/26/2016,0.3013%,691.8
02/25/2016,-0.0941%,689.72
02/24/2016,-0.2492%,690.37
02/23/2016,-0.0245%,692.1
02/22/2016,0.0578%,692.27
02/19/2016,-0.2874%,691.87
02/18/2016,0.3438%,693.86
02/17/2016,0.3702%,691.49
02/16/2016,0.5902%,688.94
